regex_cats,token,feature,regex_meta
PREP,than,f39_Prepositions,
PREP,through,f39_Prepositions,
PREP,throughout,f39_Prepositions,
PREP,thru,f39_Prepositions,
PREP,to,f39_Prepositions,
PREP,toward,f39_Prepositions,
PREP,towards,f39_Prepositions,
PREP,upon,f39_Prepositions,
PREP,versus,f39_Prepositions,
PREP,via,f39_Prepositions,
PREP,with,f39_Prepositions,
PREP,without,f39_Prepositions,
PRV,acknowledge,f56_PrivateVerbs,
PRV,anticipate,f56_PrivateVerbs,
PRV,anticipated,f56_PrivateVerbs,
PRV,anticipates,f56_PrivateVerbs,
PRV,anticipating,f56_PrivateVerbs,
PRV,assume,f56_PrivateVerbs,
PRV,assumed,f56_PrivateVerbs,
PRV,assumes,f56_PrivateVerbs,
PRV,assuming,f56_PrivateVerbs,
PRV,believe,f56_PrivateVerbs,
PRV,believed,f56_PrivateVerbs,
PRV,believes,f56_PrivateVerbs,
PRV,believing,f56_PrivateVerbs,
PRV,conclude,f56_PrivateVerbs,
PRV,concluded,f56_PrivateVerbs,
PRV,concludes,f56_PrivateVerbs,
PRV,concluding,f56_PrivateVerbs,
PRV,demonstrate,f56_PrivateVerbs,
PRV,demonstrated,f56_PrivateVerbs,
PRV,demonstrates,f56_PrivateVerbs,
PRV,demonstrating,f56_PrivateVerbs,
PRV,determine,f56_PrivateVerbs,
PRV,determined,f56_PrivateVerbs,
PRV,determines,f56_PrivateVerbs,
PRV,determining,f56_PrivateVerbs,
PRV,discover,f56_PrivateVerbs,
PRV,discovered,f56_PrivateVerbs,
PRV,discovering,f56_PrivateVerbs,
PRV,discovers,f56_PrivateVerbs,
PRV,doubt,f56_PrivateVerbs,
PRV,doubted,f56_PrivateVerbs,
PRV,doubting,f56_PrivateVerbs,
PRV,doubts,f56_PrivateVerbs,
PRV,estimate,f56_PrivateVerbs,
PRV,estimated,f56_PrivateVerbs,
PRV,estimates,f56_PrivateVerbs,
PRV,estimating,f56_PrivateVerbs,
PRV,fear,f56_PrivateVerbs,
PRV,feared,f56_PrivateVerbs,
PRV,fearing,f56_PrivateVerbs,
PRV,fears,f56_PrivateVerbs,
PRV,feel,f56_PrivateVerbs,
PRV,feeling,f56_PrivateVerbs,
PRV,feels,f56_PrivateVerbs,
PRV,felt,f56_PrivateVerbs,
PRV,find,f56_PrivateVerbs,
PRV,finding,f56_PrivateVerbs,
PRV,finds,f56_PrivateVerbs,
PRV,forget,f56_PrivateVerbs,
PRV,forgets,f56_PrivateVerbs,
PRV,forgetting,f56_PrivateVerbs,
PRV,forgot,f56_PrivateVerbs,
PRV,forgotten,f56_PrivateVerbs,
PRV,found,f56_PrivateVerbs,
PRV,guess,f56_PrivateVerbs,
PRV,guessed,f56_PrivateVerbs,
PRV,guesses,f56_PrivateVerbs,
PRV,guessing,f56_PrivateVerbs,
PRV,hear,f56_PrivateVerbs,
PRV,heard,f56_PrivateVerbs,
PRV,hearing,f56_PrivateVerbs,
PRV,hears,f56_PrivateVerbs,
PRV,hope,f56_PrivateVerbs,
PRV,hoped,f56_PrivateVerbs,
PRV,hopes,f56_PrivateVerbs,
PRV,hoping,f56_PrivateVerbs,
PRV,imagine,f56_PrivateVerbs,
PRV,imagined,f56_PrivateVerbs,
PRV,imagines,f56_PrivateVerbs,
PRV,imagining,f56_PrivateVerbs,
PRV,implied,f56_PrivateVerbs,
PRV,implies,f56_PrivateVerbs,
PRV,imply,f56_PrivateVerbs,
PRV,implying,f56_PrivateVerbs,
PRV,indicate,f56_PrivateVerbs,
PRV,indicated,f56_PrivateVerbs,
PRV,indicates,f56_PrivateVerbs,
PRV,indicating,f56_PrivateVerbs,
PRV,infer,f56_PrivateVerbs,
PRV,inferred,f56_PrivateVerbs,
PRV,inferring,f56_PrivateVerbs,
PRV,infers,f56_PrivateVerbs,
PRV,knew,f56_PrivateVerbs,
PRV,know,f56_PrivateVerbs,
PRV,knowing,f56_PrivateVerbs,
PRV,known,f56_PrivateVerbs,
PRV,knows,f56_PrivateVerbs,
PRV,learn,f56_PrivateVerbs,
PRV,learned,f56_PrivateVerbs,
PRV,learning,f56_PrivateVerbs,
PRV,learns,f56_PrivateVerbs,
PRV,mean,f56_PrivateVerbs,
PRV,meaning,f56_PrivateVerbs,
PRV,means,f56_PrivateVerbs,
PRV,meant,f56_PrivateVerbs,
PRV,notice,f56_PrivateVerbs,
PRV,noticed,f56_PrivateVerbs,
PRV,notices,f56_PrivateVerbs,
PRV,noticing,f56_PrivateVerbs,
PRV,prove,f56_PrivateVerbs,
PRV,proved,f56_PrivateVerbs,
PRV,proven,f56_PrivateVerbs,
PRV,proves,f56_PrivateVerbs,
PRV,proving,f56_PrivateVerbs,
PRV,realize,f56_PrivateVerbs,
PRV,realized,f56_PrivateVerbs,
PRV,realizes,f56_PrivateVerbs,
PRV,realizing,f56_PrivateVerbs,
PRV,recognize,f56_PrivateVerbs,
PRV,recognized,f56_PrivateVerbs,
PRV,recognizes,f56_PrivateVerbs,
PRV,recognizing,f56_PrivateVerbs,
PRV,remember,f56_PrivateVerbs,
PRV,remembered,f56_PrivateVerbs,
PRV,remembering,f56_PrivateVerbs,
PRV,remembers,f56_PrivateVerbs,
PRV,reveal,f56_PrivateVerbs,
PRV,revealed,f56_PrivateVerbs,
PRV,revealing,f56_PrivateVerbs,
PRV,reveals,f56_PrivateVerbs,
PRV,saw,f56_PrivateVerbs,
PRV,see,f56_PrivateVerbs,
PRV,seeing,f56_PrivateVerbs,
PRV,seen,f56_PrivateVerbs,
PRV,sees,f56_PrivateVerbs,
PRV,show,f56_PrivateVerbs,
PRV,showed,f56_PrivateVerbs,
PRV,showing,f56_PrivateVerbs,
PRV,shown,f56_PrivateVerbs,
PRV,shows,f56_PrivateVerbs,
PRV,suppose,f56_PrivateVerbs,
PRV,supposed,f56_PrivateVerbs,
PRV,supposes,f56_PrivateVerbs,
PRV,supposing,f56_PrivateVerbs,
PRV,think,f56_PrivateVerbs,
PRV,thinking,f56_PrivateVerbs,
PRV,thinks,f56_PrivateVerbs,
PRV,thought,f56_PrivateVerbs,
PRV,understand,f56_PrivateVerbs,
PRV,understanding,f56_PrivateVerbs,
PRV,understands,f56_PrivateVerbs,
PRV,understood,f56_PrivateVerbs,
PUB,acknowledged,f55_PublicVerbs,
PUB,acknowledges,f55_PublicVerbs,
PUB,acknowledging,f55_PublicVerbs,
PUB,admit,f55_PublicVerbs,
PUB,admits,f55_PublicVerbs,
PUB,admitted,f55_PublicVerbs,
PUB,admitting,f55_PublicVerbs,
PUB,assert,f55_PublicVerbs,
PUB,asserted,f55_PublicVerbs,
PUB,asserting,f55_PublicVerbs,
PUB,asserts,f55_PublicVerbs,
PUB,claim,f55_PublicVerbs,
PUB,claimed,f55_PublicVerbs,
PUB,claiming,f55_PublicVerbs,
PUB,claims,f55_PublicVerbs,
PUB,complain,f55_PublicVerbs,
PUB,complained,f55_PublicVerbs,
PUB,complaining,f55_PublicVerbs,
PUB,complains,f55_PublicVerbs,
PUB,declare,f55_PublicVerbs,
PUB,declared,f55_PublicVerbs,
PUB,declares,f55_PublicVerbs,
PUB,declaring,f55_PublicVerbs,
PUB,denied,f55_PublicVerbs,
PUB,denies,f55_PublicVerbs,
PUB,deny,f55_PublicVerbs,
PUB,denying,f55_PublicVerbs,
PUB,explain,f55_PublicVerbs,
PUB,explained,f55_PublicVerbs,
PUB,explaining,f55_PublicVerbs,
PUB,explains,f55_PublicVerbs,
PUB,hint,f55_PublicVerbs,
PUB,hinted,f55_PublicVerbs,
PUB,hinting,f55_PublicVerbs,
PUB,hints,f55_PublicVerbs,
PUB,mention,f55_PublicVerbs,
PUB,mentioned,f55_PublicVerbs,
PUB,mentioning,f55_PublicVerbs,
PUB,mentions,f55_PublicVerbs,
PUB,proclaim,f55_PublicVerbs,
PUB,proclaimed,f55_PublicVerbs,
PUB,proclaiming,f55_PublicVerbs,
PUB,proclaims,f55_PublicVerbs,
PUB,promise,f55_PublicVerbs,
PUB,promised,f55_PublicVerbs,
PUB,promises,f55_PublicVerbs,
PUB,promising,f55_PublicVerbs,
PUB,protest,f55_PublicVerbs,
PUB,protested,f55_PublicVerbs,
PUB,protesting,f55_PublicVerbs,
PUB,protests,f55_PublicVerbs,
PUB,remark,f55_PublicVerbs,
PUB,remarked,f55_PublicVerbs,
PUB,remarking,f55_PublicVerbs,
PUB,remarks,f55_PublicVerbs,
PUB,replied,f55_PublicVerbs,
PUB,replies,f55_PublicVerbs,
PUB,reply,f55_PublicVerbs,
PUB,replying,f55_PublicVerbs,
PUB,report,f55_PublicVerbs,
PUB,reported,f55_PublicVerbs,
PUB,reporting,f55_PublicVerbs,
PUB,reports,f55_PublicVerbs,
PUB,said,f55_PublicVerbs,
PUB,say,f55_PublicVerbs,
PUB,saying,f55_PublicVerbs,
PUB,says,f55_PublicVerbs,
PUB,swear,f55_PublicVerbs,
PUB,swearing,f55_PublicVerbs,
PUB,swears,f55_PublicVerbs,
PUB,swore,f55_PublicVerbs,
PUB,sworn,f55_PublicVerbs,
PUB,write,f55_PublicVerbs,
PUB,writes,f55_PublicVerbs,
PUB,writing,f55_PublicVerbs,
PUB,written,f55_PublicVerbs,
PUB,wrote,f55_PublicVerbs,
QUAN,all,,
QUAN,any,,
QUAN,each,,
QUAN,every,,
QUAN,few,,
QUAN,many,,
QUAN,much,,
QUAN,several,,
QUAN,some,,
QUANPRO,anybody,f11_IndefinitePronouns,
QUANPRO,anyone,f11_IndefinitePronouns,
QUANPRO,anything,f11_IndefinitePronouns,
QUANPRO,everybody,f11_IndefinitePronouns,
QUANPRO,everyone,f11_IndefinitePronouns,
QUANPRO,everything,f11_IndefinitePronouns,
QUANPRO,somebody,f11_IndefinitePronouns,
QUANPRO,someone,f11_IndefinitePronouns,
QUANPRO,something,f11_IndefinitePronouns,
REFLEXPRO,herself,f8_ThirdPersonPronouns,PRO
REFLEXPRO,himself,f8_ThirdPersonPronouns,PRO
REFLEXPRO,itself,f8_ThirdPersonPronouns,PRO
REFLEXPRO,myself,f6_FirstPersonPronouns,PRO
REFLEXPRO,ourselves,f6_FirstPersonPronouns,PRO
REFLEXPRO,themselves,f8_ThirdPersonPronouns,PRO
REFLEXPRO,yourself,f7_SecondPersonPronouns,PRO
REFLEXPRO,yourselves,f7_SecondPersonPronouns,PRO
SUA,arrange,f57_SuasiveVerbs,
SUA,arranged,f57_SuasiveVerbs,
SUA,arranges,f57_SuasiveVerbs,
SUA,arranging,f57_SuasiveVerbs,
SUA,ask,f57_SuasiveVerbs,
SUA,asked,f57_SuasiveVerbs,
SUA,asking,f57_SuasiveVerbs,
SUA,asks,f57_SuasiveVerbs,
SUA,beg,f57_SuasiveVerbs,
SUA,begged,f57_SuasiveVerbs,
SUA,begging,f57_SuasiveVerbs,
SUA,begs,f57_SuasiveVerbs,
SUA,command,f57_SuasiveVerbs,
SUA,commanded,f57_SuasiveVerbs,
SUA,commanding,f57_SuasiveVerbs,
SUA,commands,f57_SuasiveVerbs,
SUA,demand,f57_SuasiveVerbs,
SUA,demanded,f57_SuasiveVerbs,
SUA,demanding,f57_SuasiveVerbs,
SUA,demands,f57_SuasiveVerbs,
SUA,grant,f57_SuasiveVerbs,
SUA,granted,f57_SuasiveVerbs,
SUA,granting,f57_SuasiveVerbs,
SUA,grants,f57_SuasiveVerbs,
SUA,instruct,f57_SuasiveVerbs,
SUA,instructed,f57_SuasiveVerbs,
SUA,instructing,f57_SuasiveVerbs,
SUA,instructs,f57_SuasiveVerbs,
SUA,ordain,f57_SuasiveVerbs,
SUA,ordained,f57_SuasiveVerbs,
SUA,ordaining,f57_SuasiveVerbs,
SUA,ordains,f57_SuasiveVerbs,
SUA,pledge,f57_SuasiveVerbs,
SUA,pledged,f57_SuasiveVerbs,
SUA,pledges,f57_SuasiveVerbs,
SUA,pledging,f57_SuasiveVerbs,
SUA,pronounce,f57_SuasiveVerbs,
SUA,pronounced,f57_SuasiveVerbs,
SUA,pronounces,f57_SuasiveVerbs,
SUA,pronouncing,f57_SuasiveVerbs,
SUA,propose,f57_SuasiveVerbs,
SUA,proposed,f57_SuasiveVerbs,
SUA,proposes,f57_SuasiveVerbs,
SUA,proposing,f57_SuasiveVerbs,
SUA,recommend,f57_SuasiveVerbs,
SUA,recommended,f57_SuasiveVerbs,
SUA,recommending,f57_SuasiveVerbs,
SUA,recommends,f57_SuasiveVerbs,
SUA,request,f57_SuasiveVerbs,
SUA,requested,f57_SuasiveVerbs,
SUA,requesting,f57_SuasiveVerbs,
SUA,requests,f57_SuasiveVerbs,
SUA,stipulate,f57_SuasiveVerbs,
SUA,stipulated,f57_SuasiveVerbs,
SUA,stipulates,f57_SuasiveVerbs,
SUA,stipulating,f57_SuasiveVerbs,
SUA,urge,f57_SuasiveVerbs,
SUA,urged,f57_SuasiveVerbs,
SUA,urges,f57_SuasiveVerbs,
SUA,urging,f57_SuasiveVerbs,
SUAPRV,decide,f57_SuasiveVerbs_f56_PrivateVerbs,
SUAPRV,decided,f57_SuasiveVerbs_f56_PrivateVerbs,
SUAPRV,decides,f57_SuasiveVerbs_f56_PrivateVerbs,
SUAPRV,deciding,f57_SuasiveVerbs_f56_PrivateVerbs,
SUAPUB,agree,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,agreed,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,agreeing,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,agrees,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,insist,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,insisted,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,insisting,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,insists,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,suggest,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,suggested,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,suggesting,f57_SuasiveVerbs_f55_PublicVerbs,
SUAPUB,suggests,f57_SuasiveVerbs_f55_PublicVerbs,
SUBJPRO,he,f8_ThirdPersonPronouns,PRO
SUBJPRO,I,f6_FirstPersonPronouns,PRO
SUBJPRO,she,f8_ThirdPersonPronouns,PRO
SUBJPRO,they,f8_ThirdPersonPronouns,PRO
SUBJPRO,we,f6_FirstPersonPronouns,PRO
WHO,how,,
WHO,what,,
WHO,whatever,,
WHO,when,,
WHO,whenever,,
WHO,where,,
WHO,wherever,,
WHO,whether,,
WHO,whichever,,
WHO,whoever,,
WHO,whomever,,
WHO,why,,
WHP,which,,
WHP,who,,
WHP,whom,,
WHP,whose,,
YOU,y'all,f7_SecondPersonPronouns,PRO
YOU,you,f7_SecondPersonPronouns,PRO
,aboard,f4_PlaceAdverbials,
,above,f4_PlaceAdverbials,
,abroad,f4_PlaceAdverbials,
,across,f4_PlaceAdverbials,
,ahead,f4_PlaceAdverbials,
,alongside,f4_PlaceAdverbials,
,around,f4_PlaceAdverbials,
,ashore,f4_PlaceAdverbials,
,astern,f4_PlaceAdverbials,
,away,f4_PlaceAdverbials,
,behind,f4_PlaceAdverbials,
,below,f4_PlaceAdverbials,
,beneath,f4_PlaceAdverbials,
,beside,f4_PlaceAdverbials,
,downhill,f4_PlaceAdverbials,
,downstairs,f4_PlaceAdverbials,
,downstream,f4_PlaceAdverbials,
,east,f4_PlaceAdverbials,
,far,f4_PlaceAdverbials,
,hereabouts,f4_PlaceAdverbials,
,indoors,f4_PlaceAdverbials,
,inland,f4_PlaceAdverbials,
,inshore,f4_PlaceAdverbials,
,inside,f4_PlaceAdverbials,
,locally,f4_PlaceAdverbials,
,near,f4_PlaceAdverbials,
,nearby,f4_PlaceAdverbials,
,north,f4_PlaceAdverbials,
,nowhere,f4_PlaceAdverbials,
,outdoors,f4_PlaceAdverbials,
,outside,f4_PlaceAdverbials,
,overboard,f4_PlaceAdverbials,
,overland,f4_PlaceAdverbials,
,overseas,f4_PlaceAdverbials,
,south,f4_PlaceAdverbials,
,underfoot,f4_PlaceAdverbials,
,underground,f4_PlaceAdverbials,
,underneath,f4_PlaceAdverbials,
,uphill,f4_PlaceAdverbials,
,upstream,f4_PlaceAdverbials,
,upstairs,f4_PlaceAdverbials,
,west,f4_PlaceAdverbials,
,afterwards,f5_TimeAdverbials,
,again,f5_TimeAdverbials,
,earlier,f5_TimeAdverbials,
,early,f5_TimeAdverbials,
,eventually,f5_TimeAdverbials,
,formerly,f5_TimeAdverbials,
,immediately,f5_TimeAdverbials,
,initially,f5_TimeAdverbials,
,instantly,f5_TimeAdverbials,
,late,f5_TimeAdverbials,
,lately,f5_TimeAdverbials,
,later,f5_TimeAdverbials,
,momentarily,f5_TimeAdverbials,
,now,f5_TimeAdverbials,
,nowadays,f5_TimeAdverbials,
,once,f5_TimeAdverbials,
,originally,f5_TimeAdverbials,
,presently,f5_TimeAdverbials,
,previously,f5_TimeAdverbials,
,recently,f5_TimeAdverbials,
,shortly,f5_TimeAdverbials,
,simultaneously,f5_TimeAdverbials,
,soon,f5_TimeAdverbials,
,subsequently,f5_TimeAdverbials,
,today,f5_TimeAdverbials,
,tomorrow,f5_TimeAdverbials,
,tonight,f5_TimeAdverbials,
,yesterday,f5_TimeAdverbials,
,because,f35_AdvSubCause,
,although,f36_AdvSubConcession,
,though,f36_AdvSubConcession,
,if,f37_AdvSubCondition,
,unless,f37_AdvSubCondition,
,since,f38_AdvSubOther,
,while,f38_AdvSubOther,
,whereupon,f38_AdvSubOther,
,whereas,f38_AdvSubOther,
,whereby,f38_AdvSubOther,
,such that,f38_AdvSubOther,
,inasmuch as,f38_AdvSubOther,
,forasmuch as,f38_AdvSubOther,
,insofar as,f38_AdvSubOther,
,insomuch as,f38_AdvSubOther,
,as long as,f38_AdvSubOther,
,as soon as,f38_AdvSubOther,
,almost,f46_Downtoners,
,barely,f46_Downtoners,
,hardly,f46_Downtoners,
,merely,f46_Downtoners,
,mildly,f46_Downtoners,
,nearly,f46_Downtoners,
,only,f46_Downtoners,
,partially,f46_Downtoners,
,partly,f46_Downtoners,
,practically,f46_Downtoners,
,scarcely,f46_Downtoners,
,slightly,f46_Downtoners,
,somewhat,f46_Downtoners,
,absolutely,f48_Amplifiers,
,altogether,f48_Amplifiers,
,completely,f48_Amplifiers,
,enormously,f48_Amplifiers,
,entirely,f48_Amplifiers,
,extremely,f48_Amplifiers,
,fully,f48_Amplifiers,
,greatly,f48_Amplifiers,
,highly,f48_Amplifiers,
,intensely,f48_Amplifiers,
,perfectly,f48_Amplifiers,
,strongly,f48_Amplifiers,
,thoroughly,f48_Amplifiers,
,totally,f48_Amplifiers,
,utterly,f48_Amplifiers,
,very,f48_Amplifiers,
